#####ESG (strain/slip/slipGradient) history for Gauss Point 1 in Element 20 
TimeStep 	 eps_xx 	 eps_yy 	 gamma_xy 	 s_x 	 s_y 	 g_xx 	 g_yy 	 g_xy 	 g_yx 
1 	 9.232926e-06 	 -2.012445e-06 	 -1.092592e-06 	 1.323746e-08 	 2.801009e-07 	 -2.421030e-08 	 1.091744e-07 	 -1.312355e-08 	 5.497598e-08 
2 	 1.846585e-05 	 -4.024891e-06 	 -2.185183e-06 	 2.647493e-08 	 5.602018e-07 	 -4.842061e-08 	 2.183488e-07 	 -2.624711e-08 	 1.099520e-07 
3 	 2.769878e-05 	 -6.037336e-06 	 -3.277775e-06 	 3.971239e-08 	 8.403026e-07 	 -7.263091e-08 	 3.275232e-07 	 -3.937066e-08 	 1.649280e-07 
4 	 3.693170e-05 	 -8.049782e-06 	 -4.370366e-06 	 5.294985e-08 	 1.120404e-06 	 -9.684122e-08 	 4.366976e-07 	 -5.249421e-08 	 2.199039e-07 
5 	 4.616463e-05 	 -1.006223e-05 	 -5.462958e-06 	 6.618731e-08 	 1.400504e-06 	 -1.210515e-07 	 5.458721e-07 	 -6.561777e-08 	 2.748799e-07 
6 	 5.539755e-05 	 -1.207467e-05 	 -6.555550e-06 	 7.942478e-08 	 1.680605e-06 	 -1.452618e-07 	 6.550465e-07 	 -7.874132e-08 	 3.298559e-07 
7 	 6.463048e-05 	 -1.408712e-05 	 -7.648141e-06 	 9.266224e-08 	 1.960706e-06 	 -1.694721e-07 	 7.642209e-07 	 -9.186487e-08 	 3.848319e-07 
8 	 7.430010e-05 	 -1.622090e-05 	 -8.371625e-06 	 1.436194e-07 	 2.225961e-06 	 -2.187477e-07 	 8.945677e-07 	 -1.708536e-07 	 4.478728e-07 
9 	 9.093367e-05 	 -1.972406e-05 	 -4.981033e-06 	 3.398284e-07 	 2.336539e-06 	 -7.082709e-07 	 1.288228e-06 	 -6.821270e-07 	 5.442392e-07 
10 	 1.032669e-04 	 -2.206733e-05 	 -4.196500e-06 	 3.025987e-07 	 2.598625e-06 	 -8.720853e-07 	 1.473492e-06 	 -7.585390e-07 	 5.884099e-07 
11 	 1.168461e-04 	 -2.341861e-05 	 -3.671705e-06 	 1.350077e-06 	 3.803161e-06 	 7.559269e-07 	 1.264184e-06 	 -3.948430e-07 	 6.531057e-07 
12 	 1.291433e-04 	 -2.532387e-05 	 -2.801502e-06 	 1.613008e-06 	 4.334205e-06 	 1.134504e-06 	 1.331368e-06 	 -2.814966e-07 	 7.196270e-07 
13 	 1.452032e-04 	 -2.832072e-05 	 -2.037273e-06 	 1.821486e-06 	 4.637367e-06 	 1.013223e-06 	 1.591276e-06 	 -1.421045e-07 	 7.833459e-07 
14 	 1.873590e-04 	 -2.576918e-05 	 4.141024e-05 	 9.289088e-06 	 1.802363e-06 	 2.550986e-06 	 2.669957e-06 	 -1.074211e-05 	 6.783184e-08 
15 	 1.978165e-04 	 -2.071377e-05 	 2.869902e-05 	 1.469698e-05 	 3.586112e-06 	 1.009178e-05 	 1.057186e-06 	 -8.038895e-06 	 6.940424e-07 
16 	 2.108464e-04 	 -2.060321e-05 	 2.868153e-05 	 1.642823e-05 	 4.343840e-06 	 1.220233e-05 	 7.391505e-07 	 -8.609481e-06 	 8.862055e-07 
17 	 2.207484e-04 	 -2.124393e-05 	 2.557659e-05 	 1.838721e-05 	 5.030761e-06 	 1.406448e-05 	 3.854403e-07 	 -8.927011e-06 	 1.139148e-06 
18 	 2.442517e-04 	 -1.530686e-05 	 -1.025915e-05 	 2.372926e-05 	 5.375367e-06 	 2.159578e-05 	 -1.085628e-06 	 -9.890607e-06 	 2.911606e-06 
19 	 2.677556e-04 	 -1.335686e-05 	 -1.047214e-05 	 1.295009e-05 	 4.751264e-06 	 1.824505e-05 	 -5.697194e-06 	 -1.567064e-06 	 3.190225e-06 
20 	 2.839865e-04 	 -1.388239e-05 	 -1.599652e-05 	 1.238968e-05 	 4.744053e-06 	 1.971842e-05 	 -6.854934e-06 	 2.393424e-07 	 3.468363e-06 
21 	 2.992441e-04 	 -1.426178e-05 	 -2.156082e-05 	 1.195921e-05 	 4.901238e-06 	 2.115976e-05 	 -8.019720e-06 	 1.672824e-06 	 3.857316e-06 
22 	 3.167832e-04 	 -1.411715e-05 	 -3.504412e-05 	 1.089712e-05 	 7.263302e-06 	 2.340805e-05 	 -1.081187e-05 	 2.404543e-06 	 4.633055e-06 
23 	 3.308055e-04 	 -1.459182e-05 	 -3.918630e-05 	 1.101377e-05 	 7.940418e-06 	 2.478874e-05 	 -1.188527e-05 	 3.056867e-06 	 5.010496e-06 
24 	 3.448355e-04 	 -1.504134e-05 	 -4.318578e-05 	 1.117704e-05 	 8.575332e-06 	 2.626373e-05 	 -1.290410e-05 	 3.671841e-06 	 5.371337e-06 
25 	 3.548465e-04 	 -1.551783e-05 	 -4.666499e-05 	 1.186428e-05 	 9.045294e-06 	 2.808028e-05 	 -1.362075e-05 	 3.589032e-06 	 5.566485e-06 
26 	 3.672541e-04 	 -1.603136e-05 	 -5.123152e-05 	 1.268740e-05 	 9.611754e-06 	 2.986348e-05 	 -1.452285e-05 	 3.999918e-06 	 5.891401e-06 
27 	 3.803003e-04 	 -1.654905e-05 	 -5.622190e-05 	 1.357211e-05 	 1.023555e-05 	 3.171865e-05 	 -1.550757e-05 	 4.597038e-06 	 6.280219e-06 
28 	 3.930380e-04 	 -1.712564e-05 	 -6.070463e-05 	 1.457962e-05 	 1.079872e-05 	 3.375679e-05 	 -1.642635e-05 	 5.031319e-06 	 6.667855e-06 
29 	 4.072587e-04 	 -1.764164e-05 	 -6.652657e-05 	 1.570720e-05 	 1.120695e-05 	 3.607004e-05 	 -1.739519e-05 	 5.650205e-06 	 7.179649e-06 
30 	 3.971611e-04 	 -1.763885e-05 	 -8.375159e-05 	 1.578317e-05 	 5.573550e-06 	 4.195657e-05 	 -1.615154e-05 	 -1.710638e-07 	 6.952894e-06 
31 	 4.299383e-04 	 -1.816338e-05 	 -9.514599e-05 	 1.814066e-05 	 1.017226e-06 	 4.584192e-05 	 -1.502288e-05 	 -2.120230e-06 	 7.512140e-06 
32 	 4.449541e-04 	 -1.952479e-05 	 -9.586243e-05 	 1.888126e-05 	 -4.972663e-07 	 4.797686e-05 	 -1.438171e-05 	 -4.472951e-06 	 7.238635e-06 
33 	 4.166920e-04 	 -1.428821e-05 	 -6.099290e-05 	 2.336394e-05 	 -5.806123e-06 	 7.287104e-05 	 -6.158645e-06 	 -2.574043e-05 	 -5.348527e-07 
34 	 3.820342e-04 	 -1.557853e-05 	 -5.970473e-05 	 2.560823e-05 	 -2.648192e-05 	 8.882174e-05 	 7.482555e-06 	 -4.143544e-05 	 -1.092869e-05 
35 	 3.853556e-04 	 -1.586861e-05 	 -6.047612e-05 	 2.669151e-05 	 -3.194010e-05 	 9.397626e-05 	 1.083819e-05 	 -4.527549e-05 	 -1.374861e-05 
36 	 3.914147e-04 	 -1.610119e-05 	 -6.117780e-05 	 2.761137e-05 	 -3.605495e-05 	 9.839850e-05 	 1.330279e-05 	 -4.852100e-05 	 -1.589666e-05 
37 	 3.990145e-04 	 -1.628143e-05 	 -6.195606e-05 	 2.863775e-05 	 -3.926445e-05 	 1.022799e-04 	 1.522047e-05 	 -5.121354e-05 	 -1.761494e-05 
