#####Strain history for point located at x=5.7 and y=0.07, 1x1DD
TimeStep 	 eps_xx 	 eps_yy 	 gamma_xy 
1 	 1.213281e-05 	 -2.198418e-06 	 5.480928e-08 
2 	 2.426563e-05 	 -4.396836e-06 	 1.096180e-07 
3 	 3.639844e-05 	 -6.595255e-06 	 1.644267e-07 
4 	 4.853126e-05 	 -8.793673e-06 	 2.192354e-07 
5 	 6.066407e-05 	 -1.099209e-05 	 2.740440e-07 
6 	 7.279689e-05 	 -1.319051e-05 	 3.288527e-07 
7 	 8.492970e-05 	 -1.538893e-05 	 3.836614e-07 
8 	 9.942222e-05 	 -1.635651e-05 	 9.958761e-08 
9 	 1.180191e-04 	 -1.749737e-05 	 6.392460e-07 
10 	 1.793934e-04 	 -3.043845e-05 	 -2.415453e-07 
11 	 2.370410e-04 	 -3.500241e-05 	 -1.695982e-06 
12 	 2.894706e-04 	 -3.627965e-05 	 -2.596608e-06 
13 	 3.343504e-04 	 -3.739846e-05 	 -4.352107e-06 
14 	 4.145701e-04 	 -4.506556e-05 	 -2.230751e-06 
15 	 5.034998e-04 	 -5.183685e-05 	 2.934821e-06 
16 	 5.859909e-04 	 -5.638552e-05 	 9.137441e-06 
17 	 6.696461e-04 	 -5.968059e-05 	 1.733412e-05 
18 	 7.384996e-04 	 -5.635401e-05 	 2.485636e-05 
19 	 8.810200e-04 	 -5.929847e-05 	 1.464584e-05 
20 	 9.709668e-04 	 -5.658586e-05 	 1.234130e-05 
21 	 1.035163e-03 	 -5.220010e-05 	 1.029303e-05 
22 	 1.064947e-03 	 -4.787722e-05 	 2.818555e-06 
23 	 1.071033e-03 	 -4.612356e-05 	 -1.108375e-05 
24 	 1.069905e-03 	 -4.295326e-05 	 -2.495746e-05 
25 	 1.070838e-03 	 -3.933190e-05 	 -3.955288e-05 
26 	 1.072281e-03 	 -3.569972e-05 	 -5.385356e-05 
27 	 1.073995e-03 	 -3.241960e-05 	 -6.602536e-05 
28 	 1.071658e-03 	 -2.859579e-05 	 -7.699211e-05 
29 	 1.002437e-03 	 -3.124464e-05 	 -6.086106e-05 
30 	 9.864982e-04 	 -3.097246e-05 	 -5.428888e-05 
31 	 9.847744e-04 	 -3.114065e-05 	 -5.382949e-05 
32 	 9.941997e-04 	 -3.187312e-05 	 -5.408208e-05 
33 	 1.033276e-03 	 -3.140653e-05 	 -5.112607e-05 
34 	 1.074298e-03 	 -2.938787e-05 	 -4.518033e-05 
35 	 1.100452e-03 	 -2.820295e-05 	 -3.629901e-05 
36 	 1.133058e-03 	 -2.717782e-05 	 -3.286644e-05 
37 	 1.213709e-03 	 -2.374863e-05 	 -6.065077e-05 
38 	 1.182118e-03 	 -2.430607e-05 	 -3.968397e-05 
39 	 1.196046e-03 	 -2.539304e-05 	 -3.340877e-05 
40 	 1.232626e-03 	 -2.451622e-05 	 -3.369865e-05 
41 	 1.255729e-03 	 -2.346019e-05 	 -3.377505e-05 
42 	 1.276645e-03 	 -2.288505e-05 	 -3.280300e-05 
43 	 1.286236e-03 	 -2.423440e-05 	 -2.804957e-05 
44 	 1.318853e-03 	 -2.382960e-05 	 -2.825404e-05 
45 	 1.346780e-03 	 -2.334108e-05 	 -2.835382e-05 
46 	 1.372364e-03 	 -2.281337e-05 	 -2.727081e-05 
47 	 1.397242e-03 	 -2.264499e-05 	 -2.618758e-05 
48 	 1.421323e-03 	 -2.250030e-05 	 -2.524623e-05 
49 	 1.445996e-03 	 -2.208993e-05 	 -2.528785e-05 
50 	 1.466652e-03 	 -2.168844e-05 	 -2.530846e-05 
51 	 1.490427e-03 	 -2.122291e-05 	 -2.560746e-05 
52 	 1.511598e-03 	 -2.085040e-05 	 -2.567093e-05 
53 	 1.534768e-03 	 -2.022569e-05 	 -2.617938e-05 
54 	 1.557009e-03 	 -1.984069e-05 	 -2.618711e-05 
55 	 1.580842e-03 	 -1.924507e-05 	 -2.633870e-05 
56 	 1.604668e-03 	 -1.880446e-05 	 -2.600843e-05 
57 	 1.628779e-03 	 -1.834801e-05 	 -2.593071e-05 
58 	 1.649021e-03 	 -1.820550e-05 	 -2.482167e-05 
59 	 1.671295e-03 	 -1.795609e-05 	 -2.392134e-05 
60 	 1.658528e-03 	 -1.616211e-05 	 -2.341751e-05 
61 	 1.691056e-03 	 -1.763183e-05 	 -2.187896e-05 
62 	 1.714092e-03 	 -1.752078e-05 	 -1.964985e-05 
63 	 1.736752e-03 	 -1.718933e-05 	 -1.763705e-05 
64 	 1.757818e-03 	 -1.723623e-05 	 -1.481676e-05 
65 	 1.751486e-03 	 -1.751739e-05 	 -1.246053e-05 
66 	 1.753484e-03 	 -1.813042e-05 	 -1.230146e-05 
67 	 1.756637e-03 	 -2.008980e-05 	 -9.911757e-06 
68 	 1.765932e-03 	 -2.148049e-05 	 -4.006717e-06 
69 	 1.774153e-03 	 -2.247393e-05 	 -8.148375e-07 
70 	 1.795829e-03 	 -2.271327e-05 	 4.330978e-06 
71 	 1.820719e-03 	 -2.260463e-05 	 8.435261e-06 
72 	 1.842948e-03 	 -2.268861e-05 	 1.093746e-05 
73 	 1.867442e-03 	 -2.238654e-05 	 1.205247e-05 
74 	 1.887781e-03 	 -2.220573e-05 	 1.300278e-05 
75 	 1.908132e-03 	 -2.200513e-05 	 1.376780e-05 
76 	 1.927937e-03 	 -2.176168e-05 	 1.478125e-05 
77 	 1.947700e-03 	 -2.153549e-05 	 1.581816e-05 
78 	 1.965847e-03 	 -2.165492e-05 	 1.758740e-05 
79 	 1.986125e-03 	 -2.137791e-05 	 1.876666e-05 
80 	 2.004097e-03 	 -2.139086e-05 	 2.038633e-05 
81 	 2.024599e-03 	 -2.090088e-05 	 2.087059e-05 
82 	 2.042608e-03 	 -2.096683e-05 	 2.339482e-05 
